EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,D2020,D2030,D2040,D2050,D2060,D2070
1,ABILENE,MUNICIPAL,G,JONES,Y,992,1023,1041,1062,1087,1109
1,ABILENE,MUNICIPAL,G,TAYLOR,Y,21750,22165,22507,22884,23303,23652
2,AMARILLO,MUNICIPAL,A,POTTER,Y,26342,28680,31270,34014,37188,40568
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,21389,23430,25540,27846,30443,33171
7,AUSTIN,MUNICIPAL,K,HAYS,Y,13,127,249,631,1519,2749
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,157445,182933,209973,229887,246590,266411
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,7697,9541,11841,14317,17126,20208
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,29689,30963,32423,34398,36805,39548
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,3215,3254,3234,3229,3225,3224
18,CACTUS,MUNICIPAL,A,MOORE,N,985,1108,1242,1382,1532,1686
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,1650,1651,1644,1648,1659,1670
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,137,172,212,254,302,353
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,12,13,13,14,15,15
23,CASH SUD,MUNICIPAL,D,HUNT,Y,2067,2402,2829,3364,4026,4826
23,CASH SUD,MUNICIPAL,D,RAINS,Y,80,82,82,82,82,82
24,CEDAR HILL,MUNICIPAL,C,DALLAS,Y,10510,12630,14784,16972,16957,16955
24,CEDAR HILL,MUNICIPAL,C,ELLIS,Y,142,178,221,272,272,272
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,14753,16263,16182,16154,16140,16133
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,2432,2579,2767,2763,2761,2760
26,CENTER,MUNICIPAL,I,SHELBY,N,1847,1958,2056,2158,2262,2358
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,64816,68931,71270,72680,74064,75058
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,6003,6474,6984,7622,8333,9101
36,DALLAS,MUNICIPAL,C,COLLIN,Y,15807,15886,15831,15707,15682,15679
36,DALLAS,MUNICIPAL,C,DALLAS,Y,252895,269507,303241,337114,364228,377458
36,DALLAS,MUNICIPAL,C,DENTON,Y,6579,6987,7812,8638,9301,9625
36,DALLAS,MUNICIPAL,C,ROCKWALL,Y,18,23,29,35,42,49
38,DEL RIO,MUNICIPAL,J,VAL VERDE,N,10645,11144,11649,12229,12837,13435
40,DENTON,MUNICIPAL,C,DENTON,N,28908,37431,47013,59444,81374,99143
43,DUMAS,MUNICIPAL,A,MOORE,N,3538,3941,4388,4866,5391,5933
44,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,6004,6841,7639,8506,9374,10215
45,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,742,807,980,1061,1141,1221
47,EL PASO WCID #4,MUNICIPAL,E,EL PASO,N,811,793,781,783,799,817
49,EL PASO,MUNICIPAL,E,EL PASO,N,110573,120315,129713,139978,150602,160792
50,EMORY,MUNICIPAL,D,RAINS,N,498,522,527,530,532,533
51,ENNIS,MUNICIPAL,C,ELLIS,N,4148,4789,5447,7397,11879,19748
52,FORNEY,MUNICIPAL,C,KAUFMAN,N,3191,3707,4803,5817,8428,11227
55,FORT WORTH,MUNICIPAL,C,DENTON,Y,7139,10766,15447,21678,27750,33837
55,FORT WORTH,MUNICIPAL,C,PARKER,Y,12373,19140,21862,23960,25530,27120
55,FORT WORTH,MUNICIPAL,C,TARRANT,Y,165871,199669,243088,263442,281547,300047
55,FORT WORTH,MUNICIPAL,C,WISE,Y,2380,3350,4278,5477,6660,7848
55,FORT WORTH,MUNICIPAL,G,JOHNSON,Y,0,0,0,951,1520,1899
57,GAINESVILLE,MUNICIPAL,C,COOKE,N,2492,2589,2659,2755,3338,4663
58,GALVESTON,MUNICIPAL,H,GALVESTON,N,16623,17422,18285,19244,20165,21152
60,GARLAND,MUNICIPAL,C,COLLIN,Y,54,66,80,96,115,137
60,GARLAND,MUNICIPAL,C,DALLAS,Y,37816,37940,37427,37005,36921,36921
60,GARLAND,MUNICIPAL,C,ROCKWALL,Y,1,1,1,1,1,2
64,GREENVILLE,MUNICIPAL,D,HUNT,N,8908,10070,11709,14051,17451,22405
68,HARLINGEN,MUNICIPAL,M,CAMERON,N,13546,15429,17400,19636,22035,24516
75,HORIZON REGIONAL MUD,MUNICIPAL,E,EL PASO,N,3673,5022,6291,7555,8757,9891
76,HOUSTON,MUNICIPAL,H,FORT BEND,Y,8426,8739,8994,9266,9530,9739
76,HOUSTON,MUNICIPAL,H,HARRIS,Y,446074,471302,497689,527211,560720,596695
76,HOUSTON,MUNICIPAL,H,MONTGOMERY,Y,981,1375,1810,2233,2654,2776
78,HUNTSVILLE,MUNICIPAL,H,WALKER,N,7897,8091,8214,8382,8556,8707
79,JACKSONVILLE,MUNICIPAL,I,CHEROKEE,N,2680,2858,3042,3297,3588,3908
84,LAMAR COUNTY WSD,MUNICIPAL,D,LAMAR,N,2217,2239,2253,2281,2316,2350
86,LONGVIEW,MUNICIPAL,D,GREGG,Y,23668,25487,27680,30319,33432,36985
86,LONGVIEW,MUNICIPAL,D,HARRISON,Y,552,583,616,670,731,804
89,LOWER VALLEY WD,MUNICIPAL,E,EL PASO,N,3574,4349,5086,5855,6621,7348
90,LUBBOCK,MUNICIPAL,O,LUBBOCK,N,45623,49424,53437,58113,62886,67703
91,LUFKIN,MUNICIPAL,I,ANGELINA,N,6271,6523,6736,6979,7246,7494
94,MANSFIELD,MUNICIPAL,C,ELLIS,Y,32,38,47,65,81,100
94,MANSFIELD,MUNICIPAL,C,TARRANT,Y,18975,22013,26431,34762,40104,45857
94,MANSFIELD,MUNICIPAL,G,JOHNSON,Y,721,1024,1337,1681,2055,2455
95,MARSHALL,MUNICIPAL,D,HARRISON,N,5085,5326,5599,6067,6618,7278
96,MCALLEN,MUNICIPAL,M,HIDALGO,N,38728,47219,55875,64722,73748,82563
98,MIDLOTHIAN,MUNICIPAL,C,ELLIS,N,4198,5429,7069,8589,9956,10995
