EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
1,ABILENE,MUNICIPAL,G,JONES,Y,31,237,282,328,378,427
1,ABILENE,MUNICIPAL,G,TAYLOR,Y,679,5146,6092,7054,8110,9110
2,AMARILLO,MUNICIPAL,A,POTTER,Y,2488,6848,12008,17229,21918,27057
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,2020,5593,9807,14105,17944,22125
7,AUSTIN,MUNICIPAL,K,HAYS,Y,0,0,0,0,0,0
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,0,0,0,1231,29821,63194
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,0,0,0,0,0,0
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,0,0,500,2245,4402,6896
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,92,531,952,1343,1647,1927
18,CACTUS,MUNICIPAL,A,MOORE,N,583,777,974,1170,1347,1530
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,0,0,0,0,0,0
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,0,0,0,0,0,0
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,0,0,0,0,0,0
23,CASH SUD,MUNICIPAL,D,HUNT,Y,0,0,0,0,0,0
23,CASH SUD,MUNICIPAL,D,RAINS,Y,0,0,0,0,0,0
24,CEDAR HILL,MUNICIPAL,C,DALLAS,Y,478,1653,3294,4801,5573,6105
24,CEDAR HILL,MUNICIPAL,C,ELLIS,Y,7,22,48,78,89,98
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,1570,2913,2961,3172,3160,3154
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,505,941,1121,987,1084,1194
26,CENTER,MUNICIPAL,I,SHELBY,N,0,0,0,0,0,0
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,0,0,0,0,0,0
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,0,2280,2794,3523,4405,5395
36,DALLAS,MUNICIPAL,C,COLLIN,Y,735,2110,3571,4492,5209,5705
36,DALLAS,MUNICIPAL,C,DALLAS,Y,11757,35796,68405,96434,120989,137368
36,DALLAS,MUNICIPAL,C,DENTON,Y,306,928,1763,2471,3090,3503
36,DALLAS,MUNICIPAL,C,ROCKWALL,Y,1,3,6,10,13,19
38,DEL RIO,MUNICIPAL,J,VAL VERDE,N,0,0,0,0,0,0
40,DENTON,MUNICIPAL,C,DENTON,N,3076,11473,20957,33278,55059,72765
43,DUMAS,MUNICIPAL,A,MOORE,N,290,1021,1785,2679,3550,4437
44,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,0,0,0,559,1427,2268
45,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,254,311,445,544,714,893
47,EL PASO WCID #4,MUNICIPAL,E,EL PASO,N,0,0,0,0,0,0
49,EL PASO,MUNICIPAL,E,EL PASO,N,0,0,0,8978,19602,29792
50,EMORY,MUNICIPAL,D,RAINS,N,0,0,0,0,0,0
51,ENNIS,MUNICIPAL,C,ELLIS,N,148,496,1061,2391,6712,14585
