EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2020,WS2030,WS2040,WS2050,WS2060,WS2070
1,281,ABILENE,MUNICIPAL,G,JONES,Y,FORT PHANTOM HILL LAKE/RESERVOIR,433,429,420,412,405,398
1,281,ABILENE,MUNICIPAL,G,TAYLOR,Y,FORT PHANTOM HILL LAKE/RESERVOIR,9490,9286,9087,8887,8686,8485
1,373,ABILENE,MUNICIPAL,G,JONES,Y,HUBBARD CREEK LAKE/RESERVOIR,318,151,139,128,115,101
1,373,ABILENE,MUNICIPAL,G,TAYLOR,Y,HUBBARD CREEK LAKE/RESERVOIR,6980,3271,3003,2754,2456,2143
1,396,ABILENE,MUNICIPAL,G,JONES,Y,KIRBY LAKE/RESERVOIR,0,0,0,0,0,0
1,396,ABILENE,MUNICIPAL,G,TAYLOR,Y,KIRBY LAKE/RESERVOIR,0,0,0,0,0,0
1,507,ABILENE,MUNICIPAL,G,JONES,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,210,206,200,194,189,183
1,507,ABILENE,MUNICIPAL,G,TAYLOR,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,4601,4462,4325,4189,4051,3914
2,465,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | CARSON,6042,5161,4339,3667,3168,2669
2,465,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | CARSON,4906,4217,3544,3002,2592,2181
2,472,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | DEAF SMITH,55,55,55,55,27,0
2,472,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | DEAF SMITH,45,45,45,45,23,0
2,499,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | POTTER,5225,4066,3921,3703,3409,3116
2,499,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | POTTER,4242,3322,3202,3032,2790,2548
2,500,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | RANDALL,1249,955,755,605,489,374
2,500,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | RANDALL,1014,780,617,495,401,306
2,501,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | ROBERTS,11283,11595,10192,8755,8177,7352
2,501,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | ROBERTS,9162,9473,8325,7167,6693,6011
7,169,AUSTIN,MUNICIPAL,K,TRAVIS,Y,DIRECT REUSE,4571,4571,4571,4571,4571,4571
7,368,AUSTIN,MUNICIPAL,K,TRAVIS,Y,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,123626,123626,123626,123626,123613,123046
7,658,AUSTIN,MUNICIPAL,K,HAYS,Y,COLORADO RUN-OF-RIVER,13,127,249,631,1519,2749
